"SLNO","mart_name","year","month","product","sales","product ID"
"49","Mart A","2018","1","Urad Dal","931","PRD02"
"50","Mart A","2018","2","Urad Dal","941","PRD02"
"51","Mart A","2018","3","Urad Dal","1291","PRD02"
"52","Mart A","2018","4","Urad Dal","1386","PRD02"
"53","Mart A","2018","5","Urad Dal","1626","PRD02"
"54","Mart A","2018","6","Urad Dal","1573","PRD02"
"55","Mart A","2018","7","Urad Dal","1709","PRD02"
"56","Mart A","2018","8","Urad Dal","1562","PRD02"
"57","Mart A","2018","9","Urad Dal","1416","PRD02"
"58","Mart A","2018","10","Urad Dal","1401","PRD02"
"59","Mart A","2018","11","Urad Dal","1422","PRD02"
"60","Mart A","2018","12","Urad Dal","1035","PRD02"
"61","Mart A","2019","1","Urad Dal","1076","PRD02"
"62","Mart A","2019","2","Urad Dal","1004","PRD02"
"63","Mart A","2019","3","Urad Dal","1363","PRD02"
"64","Mart A","2019","4","Urad Dal","1588","PRD02"
"65","Mart A","2019","5","Urad Dal","1793","PRD02"
"66","Mart A","2019","6","Urad Dal","1819","PRD02"
"67","Mart A","2019","7","Urad Dal","1976","PRD02"
"68","Mart A","2019","8","Urad Dal","1824","PRD02"
"69","Mart A","2019","9","Urad Dal","1592","PRD02"
"70","Mart A","2019","10","Urad Dal","1506","PRD02"
"71","Mart A","2019","11","Urad Dal","1581","PRD02"
"72","Mart A","2019","12","Urad Dal","1121","PRD02"
"73","Mart A","2020","1","Urad Dal","1086","PRD02"
"74","Mart A","2020","2","Urad Dal","1111","PRD02"
"75","Mart A","2020","3","Urad Dal","1452","PRD02"
"76","Mart A","2020","4","Urad Dal","1726","PRD02"
"77","Mart A","2020","5","Urad Dal","1930","PRD02"
"78","Mart A","2020","6","Urad Dal","1938","PRD02"
"79","Mart A","2020","7","Urad Dal","2132","PRD02"
"80","Mart A","2020","8","Urad Dal","1881","PRD02"
"81","Mart A","2020","9","Urad Dal","1590","PRD02"
"82","Mart A","2020","10","Urad Dal","1665","PRD02"
"83","Mart A","2020","11","Urad Dal","1665","PRD02"
"84","Mart A","2020","12","Urad Dal","1231","PRD02"
"85","Mart A","2021","1","Urad Dal","1167","PRD02"
"86","Mart A","2021","2","Urad Dal","1191","PRD02"
"87","Mart A","2021","3","Urad Dal","1662","PRD02"
"88","Mart A","2021","4","Urad Dal","1883","PRD02"
"89","Mart A","2021","5","Urad Dal","1978","PRD02"
"90","Mart A","2021","6","Urad Dal","2067","PRD02"
"91","Mart A","2021","7","Urad Dal","2303","PRD02"
"92","Mart A","2021","8","Urad Dal","1944","PRD02"
"93","Mart A","2021","9","Urad Dal","1778","PRD02"
"94","Mart A","2021","10","Urad Dal","1763","PRD02"
"95","Mart A","2021","11","Urad Dal","1801","PRD02"
"96","Mart A","2021","12","Urad Dal","1298","PRD02"
"97","Mart A","2018","1","Groundnuts","1233","PRD03"
"98","Mart A","2018","2","Groundnuts","1231","PRD03"
"99","Mart A","2018","3","Groundnuts","1636","PRD03"
"100","Mart A","2018","4","Groundnuts","1857","PRD03"
"101","Mart A","2018","5","Groundnuts","2102","PRD03"
"102","Mart A","2018","6","Groundnuts","2092","PRD03"
"103","Mart A","2018","7","Groundnuts","2201","PRD03"
"104","Mart A","2018","8","Groundnuts","1975","PRD03"
"105","Mart A","2018","9","Groundnuts","1868","PRD03"
"106","Mart A","2018","10","Groundnuts","1734","PRD03"
"107","Mart A","2018","11","Groundnuts","1848","PRD03"
"108","Mart A","2018","12","Groundnuts","1335","PRD03"
"109","Mart A","2019","1","Groundnuts","1402","PRD03"
"110","Mart A","2019","2","Groundnuts","1460","PRD03"
"111","Mart A","2019","3","Groundnuts","1832","PRD03"
"112","Mart A","2019","4","Groundnuts","2103","PRD03"
"113","Mart A","2019","5","Groundnuts","2264","PRD03"
"114","Mart A","2019","6","Groundnuts","2460","PRD03"
"115","Mart A","2019","7","Groundnuts","2578","PRD03"
"116","Mart A","2019","8","Groundnuts","2301","PRD03"
"117","Mart A","2019","9","Groundnuts","2128","PRD03"
"118","Mart A","2019","10","Groundnuts","2060","PRD03"
"119","Mart A","2019","11","Groundnuts","2191","PRD03"
"120","Mart A","2019","12","Groundnuts","1500","PRD03"
"121","Mart A","2020","1","Groundnuts","1495","PRD03"
"122","Mart A","2020","2","Groundnuts","1443","PRD03"
"123","Mart A","2020","3","Groundnuts","2003","PRD03"
"124","Mart A","2020","4","Groundnuts","2179","PRD03"
"125","Mart A","2020","5","Groundnuts","2335","PRD03"
"126","Mart A","2020","6","Groundnuts","2524","PRD03"
"127","Mart A","2020","7","Groundnuts","2702","PRD03"
"128","Mart A","2020","8","Groundnuts","2455","PRD03"
"129","Mart A","2020","9","Groundnuts","2199","PRD03"
"130","Mart A","2020","10","Groundnuts","2109","PRD03"
"131","Mart A","2020","11","Groundnuts","2162","PRD03"
"132","Mart A","2020","12","Groundnuts","1694","PRD03"
"133","Mart A","2021","1","Groundnuts","1602","PRD03"
"134","Mart A","2021","2","Groundnuts","1629","PRD03"
"135","Mart A","2021","3","Groundnuts","2172","PRD03"
"136","Mart A","2021","4","Groundnuts","2428","PRD03"
"137","Mart A","2021","5","Groundnuts","2611","PRD03"
"138","Mart A","2021","6","Groundnuts","2678","PRD03"
"139","Mart A","2021","7","Groundnuts","3032","PRD03"
"140","Mart A","2021","8","Groundnuts","2587","PRD03"
"141","Mart A","2021","9","Groundnuts","2317","PRD03"
"142","Mart A","2021","10","Groundnuts","2319","PRD03"
"143","Mart A","2021","11","Groundnuts","2296","PRD03"
"144","Mart A","2021","12","Groundnuts","1859","PRD03"
"145","Mart A","2018","1","Turmeric","787","PRD04"
"146","Mart A","2018","2","Turmeric","808","PRD04"
"147","Mart A","2018","3","Turmeric","1144","PRD04"
"148","Mart A","2018","4","Turmeric","1205","PRD04"
"149","Mart A","2018","5","Turmeric","1366","PRD04"
"150","Mart A","2018","6","Turmeric","1444","PRD04"
"151","Mart A","2018","7","Turmeric","1547","PRD04"
"152","Mart A","2018","8","Turmeric","1368","PRD04"
"153","Mart A","2018","9","Turmeric","1237","PRD04"
"154","Mart A","2018","10","Turmeric","1162","PRD04"
"155","Mart A","2018","11","Turmeric","1237","PRD04"
"156","Mart A","2018","12","Turmeric","896","PRD04"
"157","Mart A","2019","1","Turmeric","907","PRD04"
"158","Mart A","2019","2","Turmeric","927","PRD04"
"159","Mart A","2019","3","Turmeric","1267","PRD04"
"160","Mart A","2019","4","Turmeric","1376","PRD04"
"161","Mart A","2019","5","Turmeric","1610","PRD04"
"162","Mart A","2019","6","Turmeric","1604","PRD04"
"163","Mart A","2019","7","Turmeric","1758","PRD04"
"164","Mart A","2019","8","Turmeric","1542","PRD04"
"165","Mart A","2019","9","Turmeric","1406","PRD04"
"166","Mart A","2019","10","Turmeric","1337","PRD04"
"167","Mart A","2019","11","Turmeric","1444","PRD04"
"168","Mart A","2019","12","Turmeric","1043","PRD04"
"169","Mart A","2020","1","Turmeric","1022","PRD04"
"170","Mart A","2020","2","Turmeric","929","PRD04"
"171","Mart A","2020","3","Turmeric","1266","PRD04"
"172","Mart A","2020","4","Turmeric","1496","PRD04"
"173","Mart A","2020","5","Turmeric","1674","PRD04"
"174","Mart A","2020","6","Turmeric","1725","PRD04"
"175","Mart A","2020","7","Turmeric","1875","PRD04"
"176","Mart A","2020","8","Turmeric","1621","PRD04"
"177","Mart A","2020","9","Turmeric","1436","PRD04"
"178","Mart A","2020","10","Turmeric","1457","PRD04"
"179","Mart A","2020","11","Turmeric","1417","PRD04"
"180","Mart A","2020","12","Turmeric","1071","PRD04"
"181","Mart A","2021","1","Turmeric","2144","PRD04"
"182","Mart A","2021","2","Turmeric","2267","PRD04"
"183","Mart A","2021","3","Turmeric","2831","PRD04"
"184","Mart A","2021","4","Turmeric","3338","PRD04"
"185","Mart A","2021","5","Turmeric","3543","PRD04"
"186","Mart A","2021","6","Turmeric","3634","PRD04"
"187","Mart A","2021","7","Turmeric","4102","PRD04"
"188","Mart A","2021","8","Turmeric","3661","PRD04"
"189","Mart A","2021","9","Turmeric","3334","PRD04"
"190","Mart A","2021","10","Turmeric","3110","PRD04"
"191","Mart A","2021","11","Turmeric","3177","PRD04"
"192","Mart A","2021","12","Turmeric","2329","PRD04"
"193","Mart A","2018","1","Fenugreek Seeds","1121","PRD05"
"194","Mart A","2018","2","Fenugreek Seeds","1132","PRD05"
"195","Mart A","2018","3","Fenugreek Seeds","1599","PRD05"
"196","Mart A","2018","4","Fenugreek Seeds","1717","PRD05"
"197","Mart A","2018","5","Fenugreek Seeds","1825","PRD05"
"198","Mart A","2018","6","Fenugreek Seeds","2031","PRD05"
"199","Mart A","2018","7","Fenugreek Seeds","2083","PRD05"
"200","Mart A","2018","8","Fenugreek Seeds","1894","PRD05"
"201","Mart A","2018","9","Fenugreek Seeds","1761","PRD05"
"202","Mart A","2018","10","Fenugreek Seeds","1795","PRD05"
"203","Mart A","2018","11","Fenugreek Seeds","1771","PRD05"
"204","Mart A","2018","12","Fenugreek Seeds","1259","PRD05"
"205","Mart A","2019","1","Fenugreek Seeds","1375","PRD05"
"206","Mart A","2019","2","Fenugreek Seeds","1372","PRD05"
"207","Mart A","2019","3","Fenugreek Seeds","1767","PRD05"
"208","Mart A","2019","4","Fenugreek Seeds","1996","PRD05"
"209","Mart A","2019","5","Fenugreek Seeds","2230","PRD05"
"210","Mart A","2019","6","Fenugreek Seeds","2223","PRD05"
"211","Mart A","2019","7","Fenugreek Seeds","2503","PRD05"
"212","Mart A","2019","8","Fenugreek Seeds","2288","PRD05"
"213","Mart A","2019","9","Fenugreek Seeds","2047","PRD05"
"214","Mart A","2019","10","Fenugreek Seeds","1946","PRD05"
"215","Mart A","2019","11","Fenugreek Seeds","2118","PRD05"
"216","Mart A","2019","12","Fenugreek Seeds","1439","PRD05"
"217","Mart A","2020","1","Fenugreek Seeds","1450","PRD05"
"218","Mart A","2020","2","Fenugreek Seeds","1357","PRD05"
"219","Mart A","2020","3","Fenugreek Seeds","1814","PRD05"
"220","Mart A","2020","4","Fenugreek Seeds","2060","PRD05"
"221","Mart A","2020","5","Fenugreek Seeds","2447","PRD05"
"222","Mart A","2020","6","Fenugreek Seeds","2416","PRD05"
"223","Mart A","2020","7","Fenugreek Seeds","2604","PRD05"
"224","Mart A","2020","8","Fenugreek Seeds","2378","PRD05"
"225","Mart A","2020","9","Fenugreek Seeds","2112","PRD05"
"226","Mart A","2020","10","Fenugreek Seeds","2054","PRD05"
"227","Mart A","2020","11","Fenugreek Seeds","2053","PRD05"
"228","Mart A","2020","12","Fenugreek Seeds","1519","PRD05"
"229","Mart A","2021","1","Fenugreek Seeds","1566","PRD05"
"230","Mart A","2021","2","Fenugreek Seeds","1507","PRD05"
"231","Mart A","2021","3","Fenugreek Seeds","2025","PRD05"
"232","Mart A","2021","4","Fenugreek Seeds","2313","PRD05"
"233","Mart A","2021","5","Fenugreek Seeds","2505","PRD05"
"234","Mart A","2021","6","Fenugreek Seeds","2504","PRD05"
"235","Mart A","2021","7","Fenugreek Seeds","2882","PRD05"
"236","Mart A","2021","8","Fenugreek Seeds","2446","PRD05"
"237","Mart A","2021","9","Fenugreek Seeds","2232","PRD05"
"238","Mart A","2021","10","Fenugreek Seeds","2140","PRD05"
"239","Mart A","2021","11","Fenugreek Seeds","2262","PRD05"
"240","Mart A","2021","12","Fenugreek Seeds","1667","PRD05"
"241","Mart A","2018","1","Rice","1093","PRD06"
"242","Mart A","2018","2","Rice","1158","PRD06"
"243","Mart A","2018","3","Rice","1488","PRD06"
"244","Mart A","2018","4","Rice","1694","PRD06"
"245","Mart A","2018","5","Rice","1851","PRD06"
"246","Mart A","2018","6","Rice","1937","PRD06"
"247","Mart A","2018","7","Rice","2046","PRD06"
"248","Mart A","2018","8","Rice","1902","PRD06"
"249","Mart A","2018","9","Rice","1697","PRD06"
"250","Mart A","2018","10","Rice","1609","PRD06"
"251","Mart A","2018","11","Rice","1623","PRD06"
"252","Mart A","2018","12","Rice","1271","PRD06"
"253","Mart A","2019","1","Rice","1316","PRD06"
"254","Mart A","2019","2","Rice","1287","PRD06"
"255","Mart A","2019","3","Rice","1785","PRD06"
"256","Mart A","2019","4","Rice","1916","PRD06"
"257","Mart A","2019","5","Rice","2130","PRD06"
"258","Mart A","2019","6","Rice","2178","PRD06"
"259","Mart A","2019","7","Rice","2361","PRD06"
"260","Mart A","2019","8","Rice","2146","PRD06"
"261","Mart A","2019","9","Rice","1927","PRD06"
"262","Mart A","2019","10","Rice","1830","PRD06"
"263","Mart A","2019","11","Rice","1818","PRD06"
"264","Mart A","2019","12","Rice","1365","PRD06"
"265","Mart A","2020","1","Rice","1333","PRD06"
"266","Mart A","2020","2","Rice","1330","PRD06"
"267","Mart A","2020","3","Rice","1722","PRD06"
"268","Mart A","2020","4","Rice","2011","PRD06"
"269","Mart A","2020","5","Rice","2202","PRD06"
"270","Mart A","2020","6","Rice","2259","PRD06"
"271","Mart A","2020","7","Rice","2587","PRD06"
"272","Mart A","2020","8","Rice","2197","PRD06"
"273","Mart A","2020","9","Rice","1982","PRD06"
"274","Mart A","2020","10","Rice","1910","PRD06"
"275","Mart A","2020","11","Rice","1978","PRD06"
"276","Mart A","2020","12","Rice","1485","PRD06"
"277","Mart A","2021","1","Rice","1487","PRD06"
"278","Mart A","2021","2","Rice","1427","PRD06"
"279","Mart A","2021","3","Rice","1927","PRD06"
"280","Mart A","2021","4","Rice","2140","PRD06"
"281","Mart A","2021","5","Rice","2344","PRD06"
"282","Mart A","2021","6","Rice","2395","PRD06"
"283","Mart A","2021","7","Rice","2793","PRD06"
"284","Mart A","2021","8","Rice","2307","PRD06"
"285","Mart A","2021","9","Rice","2125","PRD06"
"286","Mart A","2021","10","Rice","2156","PRD06"
"287","Mart A","2021","11","Rice","2230","PRD06"
"288","Mart A","2021","12","Rice","1589","PRD06"
"289","Mart A","2018","1","Millet","1128","PRD07"
"290","Mart A","2018","2","Millet","1080","PRD07"
"291","Mart A","2018","3","Millet","1490","PRD07"
"292","Mart A","2018","4","Millet","1613","PRD07"
"293","Mart A","2018","5","Millet","1822","PRD07"
"294","Mart A","2018","6","Millet","1881","PRD07"
"295","Mart A","2018","7","Millet","2155","PRD07"
"296","Mart A","2018","8","Millet","1931","PRD07"
"297","Mart A","2018","9","Millet","1663","PRD07"
"298","Mart A","2018","10","Millet","1524","PRD07"
"299","Mart A","2018","11","Millet","1735","PRD07"
"300","Mart A","2018","12","Millet","1277","PRD07"
"301","Mart A","2019","1","Millet","1309","PRD07"
"302","Mart A","2019","2","Millet","1252","PRD07"
"303","Mart A","2019","3","Millet","1711","PRD07"
"304","Mart A","2019","4","Millet","1959","PRD07"
"305","Mart A","2019","5","Millet","2106","PRD07"
"306","Mart A","2019","6","Millet","2206","PRD07"
"307","Mart A","2019","7","Millet","2310","PRD07"
"308","Mart A","2019","8","Millet","2146","PRD07"
"309","Mart A","2019","9","Millet","1811","PRD07"
"310","Mart A","2019","10","Millet","1820","PRD07"
"311","Mart A","2019","11","Millet","1977","PRD07"
"312","Mart A","2019","12","Millet","1385","PRD07"
"313","Mart A","2020","1","Millet","1376","PRD07"
"314","Mart A","2020","2","Millet","1318","PRD07"
"315","Mart A","2020","3","Millet","1811","PRD07"
"316","Mart A","2020","4","Millet","1968","PRD07"
"317","Mart A","2020","5","Millet","2286","PRD07"
"318","Mart A","2020","6","Millet","2251","PRD07"
"319","Mart A","2020","7","Millet","2547","PRD07"
"320","Mart A","2020","8","Millet","2208","PRD07"
"321","Mart A","2020","9","Millet","2053","PRD07"
"322","Mart A","2020","10","Millet","1881","PRD07"
"323","Mart A","2020","11","Millet","2046","PRD07"
"324","Mart A","2020","12","Millet","1405","PRD07"
"325","Mart A","2021","1","Millet","1375","PRD07"
"326","Mart A","2021","2","Millet","1388","PRD07"
"327","Mart A","2021","3","Millet","1924","PRD07"
"328","Mart A","2021","4","Millet","2163","PRD07"
"329","Mart A","2021","5","Millet","2340","PRD07"
"330","Mart A","2021","6","Millet","2443","PRD07"
"331","Mart A","2021","7","Millet","2781","PRD07"
"332","Mart A","2021","8","Millet","2424","PRD07"
"333","Mart A","2021","9","Millet","2222","PRD07"
"334","Mart A","2021","10","Millet","2097","PRD07"
"335","Mart A","2021","11","Millet","2121","PRD07"
"336","Mart A","2021","12","Millet","1556","PRD07"
"337","Mart A","2018","1","Maize","1308","PRD08"
"338","Mart A","2018","2","Maize","1341","PRD08"
"339","Mart A","2018","3","Maize","1858","PRD08"
"340","Mart A","2018","4","Maize","1894","PRD08"
"341","Mart A","2018","5","Maize","2244","PRD08"
"342","Mart A","2018","6","Maize","2332","PRD08"
"343","Mart A","2018","7","Maize","2456","PRD08"
"344","Mart A","2018","8","Maize","2173","PRD08"
"345","Mart A","2018","9","Maize","2014","PRD08"
"346","Mart A","2018","10","Maize","1967","PRD08"
"347","Mart A","2018","11","Maize","1983","PRD08"
"348","Mart A","2018","12","Maize","1487","PRD08"
"349","Mart A","2019","1","Maize","1538","PRD08"
"350","Mart A","2019","2","Maize","1527","PRD08"
"351","Mart A","2019","3","Maize","2050","PRD08"
"352","Mart A","2019","4","Maize","2239","PRD08"
"353","Mart A","2019","5","Maize","2634","PRD08"
"354","Mart A","2019","6","Maize","2717","PRD08"
"355","Mart A","2019","7","Maize","2829","PRD08"
"356","Mart A","2019","8","Maize","2518","PRD08"
"357","Mart A","2019","9","Maize","2306","PRD08"
"358","Mart A","2019","10","Maize","2244","PRD08"
"359","Mart A","2019","11","Maize","2427","PRD08"
"360","Mart A","2019","12","Maize","1670","PRD08"
"361","Mart A","2020","1","Maize","1514","PRD08"
"362","Mart A","2020","2","Maize","1583","PRD08"
"363","Mart A","2020","3","Maize","2070","PRD08"
"364","Mart A","2020","4","Maize","2374","PRD08"
"365","Mart A","2020","5","Maize","2696","PRD08"
"366","Mart A","2020","6","Maize","2750","PRD08"
"367","Mart A","2020","7","Maize","3026","PRD08"
"368","Mart A","2020","8","Maize","2763","PRD08"
"369","Mart A","2020","9","Maize","2318","PRD08"
"370","Mart A","2020","10","Maize","2407","PRD08"
"371","Mart A","2020","11","Maize","2449","PRD08"
"372","Mart A","2020","12","Maize","1848","PRD08"
"373","Mart A","2021","1","Maize","1807","PRD08"
"374","Mart A","2021","2","Maize","1775","PRD08"
"375","Mart A","2021","3","Maize","2348","PRD08"
"376","Mart A","2021","4","Maize","2608","PRD08"
"377","Mart A","2021","5","Maize","2928","PRD08"
"378","Mart A","2021","6","Maize","3018","PRD08"
"379","Mart A","2021","7","Maize","3213","PRD08"
"380","Mart A","2021","8","Maize","2819","PRD08"
"381","Mart A","2021","9","Maize","2680","PRD08"
"382","Mart A","2021","10","Maize","2509","PRD08"
"383","Mart A","2021","11","Maize","2654","PRD08"
"384","Mart A","2021","12","Maize","1934","PRD08"
"385","Mart A","2018","1","Salt","906","PRD09"
"386","Mart A","2018","2","Salt","991","PRD09"
"387","Mart A","2018","3","Salt","1219","PRD09"
"388","Mart A","2018","4","Salt","1385","PRD09"
"389","Mart A","2018","5","Salt","1540","PRD09"
"390","Mart A","2018","6","Salt","1551","PRD09"
"391","Mart A","2018","7","Salt","1789","PRD09"
"392","Mart A","2018","8","Salt","1550","PRD09"
"393","Mart A","2018","9","Salt","1362","PRD09"
"394","Mart A","2018","10","Salt","1367","PRD09"
"395","Mart A","2018","11","Salt","1341","PRD09"
"396","Mart A","2018","12","Salt","1085","PRD09"
"397","Mart A","2019","1","Salt","1010","PRD09"
"398","Mart A","2019","2","Salt","1132","PRD09"
"399","Mart A","2019","3","Salt","1488","PRD09"
"400","Mart A","2019","4","Salt","1640","PRD09"
"401","Mart A","2019","5","Salt","1737","PRD09"
"402","Mart A","2019","6","Salt","1850","PRD09"
"403","Mart A","2019","7","Salt","1970","PRD09"
"404","Mart A","2019","8","Salt","1832","PRD09"
"405","Mart A","2019","9","Salt","1647","PRD09"
"406","Mart A","2019","10","Salt","1515","PRD09"
"407","Mart A","2019","11","Salt","1606","PRD09"
"408","Mart A","2019","12","Salt","1216","PRD09"
"409","Mart A","2020","1","Salt","1113","PRD09"
"410","Mart A","2020","2","Salt","1142","PRD09"
"411","Mart A","2020","3","Salt","1505","PRD09"
"412","Mart A","2020","4","Salt","1676","PRD09"
"413","Mart A","2020","5","Salt","1872","PRD09"
"414","Mart A","2020","6","Salt","1892","PRD09"
"415","Mart A","2020","7","Salt","2156","PRD09"
"416","Mart A","2020","8","Salt","1904","PRD09"
"417","Mart A","2020","9","Salt","1691","PRD09"
"418","Mart A","2020","10","Salt","1594","PRD09"
"419","Mart A","2020","11","Salt","1682","PRD09"
"420","Mart A","2020","12","Salt","1233","PRD09"
"421","Mart A","2021","1","Salt","1234","PRD09"
"422","Mart A","2021","2","Salt","1254","PRD09"
"423","Mart A","2021","3","Salt","1594","PRD09"
"424","Mart A","2021","4","Salt","1838","PRD09"
"425","Mart A","2021","5","Salt","1954","PRD09"
"426","Mart A","2021","6","Salt","2110","PRD09"
"427","Mart A","2021","7","Salt","2209","PRD09"
"428","Mart A","2021","8","Salt","2076","PRD09"
"429","Mart A","2021","9","Salt","1862","PRD09"
"430","Mart A","2021","10","Salt","1745","PRD09"
"431","Mart A","2021","11","Salt","1806","PRD09"
"432","Mart A","2021","12","Salt","1366","PRD09"
"433","Mart A","2018","1","Barley","1354","PRD10"
"434","Mart A","2018","2","Barley","1383","PRD10"
"435","Mart A","2018","3","Barley","1843","PRD10"
"436","Mart A","2018","4","Barley","2099","PRD10"
"437","Mart A","2018","5","Barley","2360","PRD10"
"438","Mart A","2018","6","Barley","2494","PRD10"
"439","Mart A","2018","7","Barley","2571","PRD10"
"440","Mart A","2018","8","Barley","2326","PRD10"
"441","Mart A","2018","9","Barley","2076","PRD10"
"442","Mart A","2018","10","Barley","1977","PRD10"
"443","Mart A","2018","11","Barley","2089","PRD10"
"444","Mart A","2018","12","Barley","1529","PRD10"
"445","Mart A","2019","1","Barley","1556","PRD10"
"446","Mart A","2019","2","Barley","1661","PRD10"
"447","Mart A","2019","3","Barley","2118","PRD10"
"448","Mart A","2019","4","Barley","2398","PRD10"
"449","Mart A","2019","5","Barley","2743","PRD10"
"450","Mart A","2019","6","Barley","2802","PRD10"
"451","Mart A","2019","7","Barley","3047","PRD10"
"452","Mart A","2019","8","Barley","2618","PRD10"
"453","Mart A","2019","9","Barley","2417","PRD10"
"454","Mart A","2019","10","Barley","2198","PRD10"
"455","Mart A","2019","11","Barley","2441","PRD10"
"456","Mart A","2019","12","Barley","1802","PRD10"
"457","Mart A","2020","1","Barley","1658","PRD10"
"458","Mart A","2020","2","Barley","1666","PRD10"
"459","Mart A","2020","3","Barley","2229","PRD10"
"460","Mart A","2020","4","Barley","2577","PRD10"
"461","Mart A","2020","5","Barley","2837","PRD10"
"462","Mart A","2020","6","Barley","2866","PRD10"
"463","Mart A","2020","7","Barley","3203","PRD10"
"464","Mart A","2020","8","Barley","2826","PRD10"
"465","Mart A","2020","9","Barley","2533","PRD10"
"466","Mart A","2020","10","Barley","2385","PRD10"
"467","Mart A","2020","11","Barley","2451","PRD10"
"468","Mart A","2020","12","Barley","1773","PRD10"
"469","Mart A","2021","1","Barley","1924","PRD10"
"470","Mart A","2021","2","Barley","1869","PRD10"
"471","Mart A","2021","3","Barley","2395","PRD10"
"472","Mart A","2021","4","Barley","2760","PRD10"
"473","Mart A","2021","5","Barley","3069","PRD10"
"474","Mart A","2021","6","Barley","3043","PRD10"
"475","Mart A","2021","7","Barley","3564","PRD10"
"476","Mart A","2021","8","Barley","2946","PRD10"
"477","Mart A","2021","9","Barley","2737","PRD10"
"478","Mart A","2021","10","Barley","2588","PRD10"
"479","Mart A","2021","11","Barley","2740","PRD10"
"480","Mart A","2021","12","Barley","1983","PRD10"
"481","Mart A","2018","1","Rice Flour","382","PRD11"
"482","Mart A","2018","2","Rice Flour","409","PRD11"
"483","Mart A","2018","3","Rice Flour","524","PRD11"
"484","Mart A","2018","4","Rice Flour","640","PRD11"
"485","Mart A","2018","5","Rice Flour","722","PRD11"
"486","Mart A","2018","6","Rice Flour","694","PRD11"
"487","Mart A","2018","7","Rice Flour","767","PRD11"
"488","Mart A","2018","8","Rice Flour","709","PRD11"
"489","Mart A","2018","9","Rice Flour","589","PRD11"
"490","Mart A","2018","10","Rice Flour","562","PRD11"
"491","Mart A","2018","11","Rice Flour","623","PRD11"
"492","Mart A","2018","12","Rice Flour","452","PRD11"
"493","Mart A","2019","1","Rice Flour","446","PRD11"
"494","Mart A","2019","2","Rice Flour","494","PRD11"
"495","Mart A","2019","3","Rice Flour","630","PRD11"
"496","Mart A","2019","4","Rice Flour","718","PRD11"
"497","Mart A","2019","5","Rice Flour","833","PRD11"
"498","Mart A","2019","6","Rice Flour","786","PRD11"
