si_no,mart_name,year,month,product_id,Product,sales
75,Mart A,2020,3,PRD02,Urad Dal,1452
76,Mart A,2020,4,PRD02,Urad Dal,1726
77,Mart A,2020,5,PRD02,Urad Dal,1930
78,Mart A,2020,6,PRD02,Urad Dal,1938
79,Mart A,2020,7,PRD02,Urad Dal,2132
80,Mart A,2020,8,PRD02,Urad Dal,1881
81,Mart A,2020,9,PRD02,Urad Dal,1590
82,Mart A,2020,10,PRD02,Urad Dal,1665
83,Mart A,2020,11,PRD02,Urad Dal,1665
84,Mart A,2020,12,PRD02,Urad Dal,1231
85,Mart A,2021,1,PRD02,Urad Dal,1167
86,Mart A,2021,2,PRD02,Urad Dal,1191
87,Mart A,2021,3,PRD02,Urad Dal,1662
88,Mart A,2021,4,PRD02,Urad Dal,1883
89,Mart A,2021,5,PRD02,Urad Dal,1978
90,Mart A,2021,6,PRD02,Urad Dal,2067
91,Mart A,2021,7,PRD02,Urad Dal,2303
92,Mart A,2021,8,PRD02,Urad Dal,1944
93,Mart A,2021,9,PRD02,Urad Dal,1778
94,Mart A,2021,10,PRD02,Urad Dal,1763
95,Mart A,2021,11,PRD02,Urad Dal,1801
96,Mart A,2021,12,PRD02,Urad Dal,1298
97,Mart A,2018,1,PRD03,Groundnuts,1233
98,Mart A,2018,2,PRD03,Groundnuts,1231
99,Mart A,2018,3,PRD03,Groundnuts,1636
100,Mart A,2018,4,PRD03,Groundnuts,1857
101,Mart A,2018,5,PRD03,Groundnuts,2102
102,Mart A,2018,6,PRD03,Groundnuts,2092
103,Mart A,2018,7,PRD03,Groundnuts,2201
104,Mart A,2018,8,PRD03,Groundnuts,1975
105,Mart A,2018,9,PRD03,Groundnuts,1868
106,Mart A,2018,10,PRD03,Groundnuts,1734
107,Mart A,2018,11,PRD03,Groundnuts,1848
108,Mart A,2018,12,PRD03,Groundnuts,1335
109,Mart A,2019,1,PRD03,Groundnuts,1402
110,Mart A,2019,2,PRD03,Groundnuts,1460
111,Mart A,2019,3,PRD03,Groundnuts,1832
112,Mart A,2019,4,PRD03,Groundnuts,2103
113,Mart A,2019,5,PRD03,Groundnuts,2264
114,Mart A,2019,6,PRD03,Groundnuts,2460
115,Mart A,2019,7,PRD03,Groundnuts,2578
116,Mart A,2019,8,PRD03,Groundnuts,2301
117,Mart A,2019,9,PRD03,Groundnuts,2128
118,Mart A,2019,10,PRD03,Groundnuts,2060
119,Mart A,2019,11,PRD03,Groundnuts,2191
120,Mart A,2019,12,PRD03,Groundnuts,1500
121,Mart A,2020,1,PRD03,Groundnuts,1495
122,Mart A,2020,2,PRD03,Groundnuts,1443
123,Mart A,2020,3,PRD03,Groundnuts,2003
124,Mart A,2020,4,PRD03,Groundnuts,2179
125,Mart A,2020,5,PRD03,Groundnuts,2335
126,Mart A,2020,6,PRD03,Groundnuts,2524
127,Mart A,2020,7,PRD03,Groundnuts,2702
128,Mart A,2020,8,PRD03,Groundnuts,2455
129,Mart A,2020,9,PRD03,Groundnuts,2199
130,Mart A,2020,10,PRD03,Groundnuts,2109
131,Mart A,2020,11,PRD03,Groundnuts,2162
132,Mart A,2020,12,PRD03,Groundnuts,1694
133,Mart A,2021,1,PRD03,Groundnuts,1602
134,Mart A,2021,2,PRD03,Groundnuts,1629
135,Mart A,2021,3,PRD03,Groundnuts,2172
136,Mart A,2021,4,PRD03,Groundnuts,2428
137,Mart A,2021,5,PRD03,Groundnuts,2611
138,Mart A,2021,6,PRD03,Groundnuts,2678
139,Mart A,2021,7,PRD03,Groundnuts,3032
140,Mart A,2021,8,PRD03,Groundnuts,2587
141,Mart A,2021,9,PRD03,Groundnuts,2317
142,Mart A,2021,10,PRD03,Groundnuts,2319
143,Mart A,2021,11,PRD03,Groundnuts,2296
144,Mart A,2021,12,PRD03,Groundnuts,1859
145,Mart A,2018,1,PRD04,Turmeric,787
146,Mart A,2018,2,PRD04,Turmeric,808
147,Mart A,2018,3,PRD04,Turmeric,1144
148,Mart A,2018,4,PRD04,Turmeric,1205
149,Mart A,2018,5,PRD04,Turmeric,1366
150,Mart A,2018,6,PRD04,Turmeric,1444
151,Mart A,2018,7,PRD04,Turmeric,1547
152,Mart A,2018,8,PRD04,Turmeric,1368
153,Mart A,2018,9,PRD04,Turmeric,1237
154,Mart A,2018,10,PRD04,Turmeric,1162
155,Mart A,2018,11,PRD04,Turmeric,1237
156,Mart A,2018,12,PRD04,Turmeric,896
157,Mart A,2019,1,PRD04,Turmeric,907
158,Mart A,2019,2,PRD04,Turmeric,927
159,Mart A,2019,3,PRD04,Turmeric,1267
160,Mart A,2019,4,PRD04,Turmeric,1376
161,Mart A,2019,5,PRD04,Turmeric,1610
162,Mart A,2019,6,PRD04,Turmeric,1604
163,Mart A,2019,7,PRD04,Turmeric,1758
164,Mart A,2019,8,PRD04,Turmeric,1542
165,Mart A,2019,9,PRD04,Turmeric,1406
166,Mart A,2019,10,PRD04,Turmeric,1337
167,Mart A,2019,11,PRD04,Turmeric,1444
168,Mart A,2019,12,PRD04,Turmeric,1043
169,Mart A,2020,1,PRD04,Turmeric,1022
170,Mart A,2020,2,PRD04,Turmeric,929
171,Mart A,2020,3,PRD04,Turmeric,1266
172,Mart A,2020,4,PRD04,Turmeric,1496
173,Mart A,2020,5,PRD04,Turmeric,1674
174,Mart A,2020,6,PRD04,Turmeric,1725
175,Mart A,2020,7,PRD04,Turmeric,1875
176,Mart A,2020,8,PRD04,Turmeric,1621
177,Mart A,2020,9,PRD04,Turmeric,1436
178,Mart A,2020,10,PRD04,Turmeric,1457
179,Mart A,2020,11,PRD04,Turmeric,1417
180,Mart A,2020,12,PRD04,Turmeric,1071
181,Mart A,2021,1,PRD04,Turmeric,2144
182,Mart A,2021,2,PRD04,Turmeric,2267
183,Mart A,2021,3,PRD04,Turmeric,2831
184,Mart A,2021,4,PRD04,Turmeric,3338
185,Mart A,2021,5,PRD04,Turmeric,3543
186,Mart A,2021,6,PRD04,Turmeric,3634
187,Mart A,2021,7,PRD04,Turmeric,4102
188,Mart A,2021,8,PRD04,Turmeric,3661
189,Mart A,2021,9,PRD04,Turmeric,3334
190,Mart A,2021,10,PRD04,Turmeric,3110
191,Mart A,2021,11,PRD04,Turmeric,3177
192,Mart A,2021,12,PRD04,Turmeric,2329
193,Mart A,2018,1,PRD05,Fenugreek Seeds,1121
194,Mart A,2018,2,PRD05,Fenugreek Seeds,1132
195,Mart A,2018,3,PRD05,Fenugreek Seeds,1599
196,Mart A,2018,4,PRD05,Fenugreek Seeds,1717
197,Mart A,2018,5,PRD05,Fenugreek Seeds,1825
198,Mart A,2018,6,PRD05,Fenugreek Seeds,2031
199,Mart A,2018,7,PRD05,Fenugreek Seeds,2083
200,Mart A,2018,8,PRD05,Fenugreek Seeds,1894
201,Mart A,2018,9,PRD05,Fenugreek Seeds,1761
202,Mart A,2018,10,PRD05,Fenugreek Seeds,1795
203,Mart A,2018,11,PRD05,Fenugreek Seeds,1771
204,Mart A,2018,12,PRD05,Fenugreek Seeds,1259
205,Mart A,2019,1,PRD05,Fenugreek Seeds,1375
206,Mart A,2019,2,PRD05,Fenugreek Seeds,1372
207,Mart A,2019,3,PRD05,Fenugreek Seeds,1767
208,Mart A,2019,4,PRD05,Fenugreek Seeds,1996
209,Mart A,2019,5,PRD05,Fenugreek Seeds,2230
210,Mart A,2019,6,PRD05,Fenugreek Seeds,2223
211,Mart A,2019,7,PRD05,Fenugreek Seeds,2503
212,Mart A,2019,8,PRD05,Fenugreek Seeds,2288
213,Mart A,2019,9,PRD05,Fenugreek Seeds,2047
214,Mart A,2019,10,PRD05,Fenugreek Seeds,1946
215,Mart A,2019,11,PRD05,Fenugreek Seeds,2118
216,Mart A,2019,12,PRD05,Fenugreek Seeds,1439
217,Mart A,2020,1,PRD05,Fenugreek Seeds,1450
218,Mart A,2020,2,PRD05,Fenugreek Seeds,1357
219,Mart A,2020,3,PRD05,Fenugreek Seeds,1814
220,Mart A,2020,4,PRD05,Fenugreek Seeds,2060
221,Mart A,2020,5,PRD05,Fenugreek Seeds,2447
222,Mart A,2020,6,PRD05,Fenugreek Seeds,2416
223,Mart A,2020,7,PRD05,Fenugreek Seeds,2604
224,Mart A,2020,8,PRD05,Fenugreek Seeds,2378
225,Mart A,2020,9,PRD05,Fenugreek Seeds,2112
226,Mart A,2020,10,PRD05,Fenugreek Seeds,2054
227,Mart A,2020,11,PRD05,Fenugreek Seeds,2053
228,Mart A,2020,12,PRD05,Fenugreek Seeds,1519
229,Mart A,2021,1,PRD05,Fenugreek Seeds,1566
230,Mart A,2021,2,PRD05,Fenugreek Seeds,1507
231,Mart A,2021,3,PRD05,Fenugreek Seeds,2025
232,Mart A,2021,4,PRD05,Fenugreek Seeds,2313
233,Mart A,2021,5,PRD05,Fenugreek Seeds,2505
234,Mart A,2021,6,PRD05,Fenugreek Seeds,2504
235,Mart A,2021,7,PRD05,Fenugreek Seeds,2882
236,Mart A,2021,8,PRD05,Fenugreek Seeds,2446
237,Mart A,2021,9,PRD05,Fenugreek Seeds,2232
238,Mart A,2021,10,PRD05,Fenugreek Seeds,2140
239,Mart A,2021,11,PRD05,Fenugreek Seeds,2262
240,Mart A,2021,12,PRD05,Fenugreek Seeds,1667
241,Mart A,2018,1,PRD06,Rice,1093
242,Mart A,2018,2,PRD06,Rice,1158
243,Mart A,2018,3,PRD06,Rice,1488
244,Mart A,2018,4,PRD06,Rice,1694
245,Mart A,2018,5,PRD06,Rice,1851
246,Mart A,2018,6,PRD06,Rice,1937
247,Mart A,2018,7,PRD06,Rice,2046
248,Mart A,2018,8,PRD06,Rice,1902
249,Mart A,2018,9,PRD06,Rice,1697
250,Mart A,2018,10,PRD06,Rice,1609
251,Mart A,2018,11,PRD06,Rice,1623
252,Mart A,2018,12,PRD06,Rice,1271
253,Mart A,2019,1,PRD06,Rice,1316
254,Mart A,2019,2,PRD06,Rice,1287
255,Mart A,2019,3,PRD06,Rice,1785
256,Mart A,2019,4,PRD06,Rice,1916
257,Mart A,2019,5,PRD06,Rice,2130
258,Mart A,2019,6,PRD06,Rice,2178
259,Mart A,2019,7,PRD06,Rice,2361
260,Mart A,2019,8,PRD06,Rice,2146
261,Mart A,2019,9,PRD06,Rice,1927
262,Mart A,2019,10,PRD06,Rice,1830
263,Mart A,2019,11,PRD06,Rice,1818
264,Mart A,2019,12,PRD06,Rice,1365
265,Mart A,2020,1,PRD06,Rice,1333
266,Mart A,2020,2,PRD06,Rice,1330
267,Mart A,2020,3,PRD06,Rice,1722
268,Mart A,2020,4,PRD06,Rice,2011
269,Mart A,2020,5,PRD06,Rice,2202
270,Mart A,2020,6,PRD06,Rice,2259
271,Mart A,2020,7,PRD06,Rice,2587
272,Mart A,2020,8,PRD06,Rice,2197
273,Mart A,2020,9,PRD06,Rice,1982
274,Mart A,2020,10,PRD06,Rice,1910
275,Mart A,2020,11,PRD06,Rice,1978
276,Mart A,2020,12,PRD06,Rice,1485
277,Mart A,2021,1,PRD06,Rice,1487
278,Mart A,2021,2,PRD06,Rice,1427
279,Mart A,2021,3,PRD06,Rice,1927
280,Mart A,2021,4,PRD06,Rice,2140
281,Mart A,2021,5,PRD06,Rice,2344
282,Mart A,2021,6,PRD06,Rice,2395
283,Mart A,2021,7,PRD06,Rice,2793
284,Mart A,2021,8,PRD06,Rice,2307
285,Mart A,2021,9,PRD06,Rice,2125
286,Mart A,2021,10,PRD06,Rice,2156
287,Mart A,2021,11,PRD06,Rice,2230
288,Mart A,2021,12,PRD06,Rice,1589
289,Mart A,2018,1,PRD07,Millet,1128
290,Mart A,2018,2,PRD07,Millet,1080
291,Mart A,2018,3,PRD07,Millet,1490
292,Mart A,2018,4,PRD07,Millet,1613
293,Mart A,2018,5,PRD07,Millet,1822
294,Mart A,2018,6,PRD07,Millet,1881
295,Mart A,2018,7,PRD07,Millet,2155
296,Mart A,2018,8,PRD07,Millet,1931
297,Mart A,2018,9,PRD07,Millet,1663
298,Mart A,2018,10,PRD07,Millet,1524
299,Mart A,2018,11,PRD07,Millet,1735
300,Mart A,2018,12,PRD07,Millet,1277
301,Mart A,2019,1,PRD07,Millet,1309
302,Mart A,2019,2,PRD07,Millet,1252
303,Mart A,2019,3,PRD07,Millet,1711
304,Mart A,2019,4,PRD07,Millet,1959
305,Mart A,2019,5,PRD07,Millet,2106
306,Mart A,2019,6,PRD07,Millet,2206
307,Mart A,2019,7,PRD07,Millet,2310
308,Mart A,2019,8,PRD07,Millet,2146
309,Mart A,2019,9,PRD07,Millet,1811
310,Mart A,2019,10,PRD07,Millet,1820
311,Mart A,2019,11,PRD07,Millet,1977
312,Mart A,2019,12,PRD07,Millet,1385
313,Mart A,2020,1,PRD07,Millet,1376
314,Mart A,2020,2,PRD07,Millet,1318
315,Mart A,2020,3,PRD07,Millet,1811
316,Mart A,2020,4,PRD07,Millet,1968
317,Mart A,2020,5,PRD07,Millet,2286
318,Mart A,2020,6,PRD07,Millet,2251
319,Mart A,2020,7,PRD07,Millet,2547
320,Mart A,2020,8,PRD07,Millet,2208
321,Mart A,2020,9,PRD07,Millet,2053
322,Mart A,2020,10,PRD07,Millet,1881
323,Mart A,2020,11,PRD07,Millet,2046
324,Mart A,2020,12,PRD07,Millet,1405
325,Mart A,2021,1,PRD07,Millet,1375
326,Mart A,2021,2,PRD07,Millet,1388
327,Mart A,2021,3,PRD07,Millet,1924
328,Mart A,2021,4,PRD07,Millet,2163
329,Mart A,2021,5,PRD07,Millet,2340
330,Mart A,2021,6,PRD07,Millet,2443
331,Mart A,2021,7,PRD07,Millet,2781
332,Mart A,2021,8,PRD07,Millet,2424
333,Mart A,2021,9,PRD07,Millet,2222
334,Mart A,2021,10,PRD07,Millet,2097
335,Mart A,2021,11,PRD07,Millet,2121
336,Mart A,2021,12,PRD07,Millet,1556
337,Mart A,2018,1,PRD08,Maize,1308
338,Mart A,2018,2,PRD08,Maize,1341
339,Mart A,2018,3,PRD08,Maize,1858
340,Mart A,2018,4,PRD08,Maize,1894
341,Mart A,2018,5,PRD08,Maize,2244
342,Mart A,2018,6,PRD08,Maize,2332
343,Mart A,2018,7,PRD08,Maize,2456
344,Mart A,2018,8,PRD08,Maize,2173
345,Mart A,2018,9,PRD08,Maize,2014
346,Mart A,2018,10,PRD08,Maize,1967
347,Mart A,2018,11,PRD08,Maize,1983
348,Mart A,2018,12,PRD08,Maize,1487
349,Mart A,2019,1,PRD08,Maize,1538
350,Mart A,2019,2,PRD08,Maize,1527
351,Mart A,2019,3,PRD08,Maize,2050
352,Mart A,2019,4,PRD08,Maize,2239
353,Mart A,2019,5,PRD08,Maize,2634
354,Mart A,2019,6,PRD08,Maize,2717
355,Mart A,2019,7,PRD08,Maize,2829
356,Mart A,2019,8,PRD08,Maize,2518
357,Mart A,2019,9,PRD08,Maize,2306
358,Mart A,2019,10,PRD08,Maize,2244
359,Mart A,2019,11,PRD08,Maize,2427
360,Mart A,2019,12,PRD08,Maize,1670
361,Mart A,2020,1,PRD08,Maize,1514
362,Mart A,2020,2,PRD08,Maize,1583
363,Mart A,2020,3,PRD08,Maize,2070
364,Mart A,2020,4,PRD08,Maize,2374
365,Mart A,2020,5,PRD08,Maize,2696
366,Mart A,2020,6,PRD08,Maize,2750
367,Mart A,2020,7,PRD08,Maize,3026
368,Mart A,2020,8,PRD08,Maize,2763
369,Mart A,2020,9,PRD08,Maize,2318
370,Mart A,2020,10,PRD08,Maize,2407
371,Mart A,2020,11,PRD08,Maize,2449
372,Mart A,2020,12,PRD08,Maize,1848
373,Mart A,2021,1,PRD08,Maize,1807
374,Mart A,2021,2,PRD08,Maize,1775
375,Mart A,2021,3,PRD08,Maize,2348
376,Mart A,2021,4,PRD08,Maize,2608
377,Mart A,2021,5,PRD08,Maize,2928
378,Mart A,2021,6,PRD08,Maize,3018
379,Mart A,2021,7,PRD08,Maize,3213
380,Mart A,2021,8,PRD08,Maize,2819
381,Mart A,2021,9,PRD08,Maize,2680
382,Mart A,2021,10,PRD08,Maize,2509
383,Mart A,2021,11,PRD08,Maize,2654
384,Mart A,2021,12,PRD08,Maize,1934
385,Mart A,2018,1,PRD09,Salt,906
386,Mart A,2018,2,PRD09,Salt,991
387,Mart A,2018,3,PRD09,Salt,1219
388,Mart A,2018,4,PRD09,Salt,1385
389,Mart A,2018,5,PRD09,Salt,1540
390,Mart A,2018,6,PRD09,Salt,1551
391,Mart A,2018,7,PRD09,Salt,1789
392,Mart A,2018,8,PRD09,Salt,1550
393,Mart A,2018,9,PRD09,Salt,1362
394,Mart A,2018,10,PRD09,Salt,1367
395,Mart A,2018,11,PRD09,Salt,1341
396,Mart A,2018,12,PRD09,Salt,1085
397,Mart A,2019,1,PRD09,Salt,1010
398,Mart A,2019,2,PRD09,Salt,1132
399,Mart A,2019,3,PRD09,Salt,1488
400,Mart A,2019,4,PRD09,Salt,1640
401,Mart A,2019,5,PRD09,Salt,1737
402,Mart A,2019,6,PRD09,Salt,1850
403,Mart A,2019,7,PRD09,Salt,1970
404,Mart A,2019,8,PRD09,Salt,1832
405,Mart A,2019,9,PRD09,Salt,1647
406,Mart A,2019,10,PRD09,Salt,1515
407,Mart A,2019,11,PRD09,Salt,1606
408,Mart A,2019,12,PRD09,Salt,1216
409,Mart A,2020,1,PRD09,Salt,1113
410,Mart A,2020,2,PRD09,Salt,1142
411,Mart A,2020,3,PRD09,Salt,1505
412,Mart A,2020,4,PRD09,Salt,1676
413,Mart A,2020,5,PRD09,Salt,1872
414,Mart A,2020,6,PRD09,Salt,1892
415,Mart A,2020,7,PRD09,Salt,2156
416,Mart A,2020,8,PRD09,Salt,1904
417,Mart A,2020,9,PRD09,Salt,1691
418,Mart A,2020,10,PRD09,Salt,1594
419,Mart A,2020,11,PRD09,Salt,1682
420,Mart A,2020,12,PRD09,Salt,1233
421,Mart A,2021,1,PRD09,Salt,1234
422,Mart A,2021,2,PRD09,Salt,1254
423,Mart A,2021,3,PRD09,Salt,1594
424,Mart A,2021,4,PRD09,Salt,1838
425,Mart A,2021,5,PRD09,Salt,1954
426,Mart A,2021,6,PRD09,Salt,2110
427,Mart A,2021,7,PRD09,Salt,2209
428,Mart A,2021,8,PRD09,Salt,2076
429,Mart A,2021,9,PRD09,Salt,1862
430,Mart A,2021,10,PRD09,Salt,1745
431,Mart A,2021,11,PRD09,Salt,1806
432,Mart A,2021,12,PRD09,Salt,1366
433,Mart A,2018,1,PRD10,Barley,1354
434,Mart A,2018,2,PRD10,Barley,1383
435,Mart A,2018,3,PRD10,Barley,1843
436,Mart A,2018,4,PRD10,Barley,2099
437,Mart A,2018,5,PRD10,Barley,2360
438,Mart A,2018,6,PRD10,Barley,2494
439,Mart A,2018,7,PRD10,Barley,2571
440,Mart A,2018,8,PRD10,Barley,2326
441,Mart A,2018,9,PRD10,Barley,2076
442,Mart A,2018,10,PRD10,Barley,1977
443,Mart A,2018,11,PRD10,Barley,2089
444,Mart A,2018,12,PRD10,Barley,1529
445,Mart A,2019,1,PRD10,Barley,1556
446,Mart A,2019,2,PRD10,Barley,1661
447,Mart A,2019,3,PRD10,Barley,2118
448,Mart A,2019,4,PRD10,Barley,2398
449,Mart A,2019,5,PRD10,Barley,2743
450,Mart A,2019,6,PRD10,Barley,2802
451,Mart A,2019,7,PRD10,Barley,3047
452,Mart A,2019,8,PRD10,Barley,2618
453,Mart A,2019,9,PRD10,Barley,2417
454,Mart A,2019,10,PRD10,Barley,2198
455,Mart A,2019,11,PRD10,Barley,2441
456,Mart A,2019,12,PRD10,Barley,1802
457,Mart A,2020,1,PRD10,Barley,1658
458,Mart A,2020,2,PRD10,Barley,1666
459,Mart A,2020,3,PRD10,Barley,2229
460,Mart A,2020,4,PRD10,Barley,2577
461,Mart A,2020,5,PRD10,Barley,2837
462,Mart A,2020,6,PRD10,Barley,2866
463,Mart A,2020,7,PRD10,Barley,3203
464,Mart A,2020,8,PRD10,Barley,2826
465,Mart A,2020,9,PRD10,Barley,2533
466,Mart A,2020,10,PRD10,Barley,2385
467,Mart A,2020,11,PRD10,Barley,2451
468,Mart A,2020,12,PRD10,Barley,1773
469,Mart A,2021,1,PRD10,Barley,1924
470,Mart A,2021,2,PRD10,Barley,1869
471,Mart A,2021,3,PRD10,Barley,2395
472,Mart A,2021,4,PRD10,Barley,2760
473,Mart A,2021,5,PRD10,Barley,3069
474,Mart A,2021,6,PRD10,Barley,3043
475,Mart A,2021,7,PRD10,Barley,3564
476,Mart A,2021,8,PRD10,Barley,2946
477,Mart A,2021,9,PRD10,Barley,2737
478,Mart A,2021,10,PRD10,Barley,2588
479,Mart A,2021,11,PRD10,Barley,2740
480,Mart A,2021,12,PRD10,Barley,1983
481,Mart A,2018,1,PRD11,Rice Flour,382
482,Mart A,2018,2,PRD11,Rice Flour,409
483,Mart A,2018,3,PRD11,Rice Flour,524
484,Mart A,2018,4,PRD11,Rice Flour,640
485,Mart A,2018,5,PRD11,Rice Flour,722
486,Mart A,2018,6,PRD11,Rice Flour,694
487,Mart A,2018,7,PRD11,Rice Flour,767
488,Mart A,2018,8,PRD11,Rice Flour,709
489,Mart A,2018,9,PRD11,Rice Flour,589
490,Mart A,2018,10,PRD11,Rice Flour,562
491,Mart A,2018,11,PRD11,Rice Flour,623
492,Mart A,2018,12,PRD11,Rice Flour,452
493,Mart A,2019,1,PRD11,Rice Flour,446
494,Mart A,2019,2,PRD11,Rice Flour,494
495,Mart A,2019,3,PRD11,Rice Flour,630
496,Mart A,2019,4,PRD11,Rice Flour,718
497,Mart A,2019,5,PRD11,Rice Flour,833
498,Mart A,2019,6,PRD11,Rice Flour,786
499,Mart A,2019,7,PRD11,Rice Flour,864
500,Mart A,2019,8,PRD11,Rice Flour,791
501,Mart A,2019,9,PRD11,Rice Flour,697
502,Mart A,2019,10,PRD11,Rice Flour,731
503,Mart A,2019,11,PRD11,Rice Flour,708
504,Mart A,2019,12,PRD11,Rice Flour,505
505,Mart A,2020,1,PRD11,Rice Flour,470
506,Mart A,2020,2,PRD11,Rice Flour,510
507,Mart A,2020,3,PRD11,Rice Flour,641
508,Mart A,2020,4,PRD11,Rice Flour,748
509,Mart A,2020,5,PRD11,Rice Flour,829
510,Mart A,2020,6,PRD11,Rice Flour,838
511,Mart A,2020,7,PRD11,Rice Flour,984
512,Mart A,2020,8,PRD11,Rice Flour,828
513,Mart A,2020,9,PRD11,Rice Flour,785
514,Mart A,2020,10,PRD11,Rice Flour,693
515,Mart A,2020,11,PRD11,Rice Flour,763
516,Mart A,2020,12,PRD11,Rice Flour,540
517,Mart A,2021,1,PRD11,Rice Flour,521
518,Mart A,2021,2,PRD11,Rice Flour,522
519,Mart A,2021,3,PRD11,Rice Flour,731
520,Mart A,2021,4,PRD11,Rice Flour,810
521,Mart A,2021,5,PRD11,Rice Flour,904
522,Mart A,2021,6,PRD11,Rice Flour,941
523,Mart A,2021,7,PRD11,Rice Flour,981
524,Mart A,2021,8,PRD11,Rice Flour,839
525,Mart A,2021,9,PRD11,Rice Flour,804
526,Mart A,2021,10,PRD11,Rice Flour,721
527,Mart A,2021,11,PRD11,Rice Flour,823
528,Mart A,2021,12,PRD11,Rice Flour,580
529,Mart A,2018,1,PRD12,Wheat,561
530,Mart A,2018,2,PRD12,Wheat,519
531,Mart A,2018,3,PRD12,Wheat,730
532,Mart A,2018,4,PRD12,Wheat,781
533,Mart A,2018,5,PRD12,Wheat,854
534,Mart A,2018,6,PRD12,Wheat,950
535,Mart A,2018,7,PRD12,Wheat,1050
536,Mart A,2018,8,PRD12,Wheat,910
537,Mart A,2018,9,PRD12,Wheat,809
